Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
    _M_manager                                                                                                       0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xa89580     
     _M_manager                                                                                                      0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_manager                                                                                                                      std_function.h             0xa89592     
      _M_destroy                                                                                                     0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_destroy                                                                                                                      std_function.h             0xa8959c     
       _int_free                                                                                                     0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libc.so.6         _int_free                                                                                                                       [Unknown]                  0x98850      
    std::_Function_handler<void (void), self_barrier(boost::shared_ptr<Bit_Mask>)::{lambda()#1}>::_M_invoke          0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  std::_Function_handler<void (void), self_barrier(boost::shared_ptr<Bit_Mask>)::{lambda()#1}>::_M_invoke(std::_Any_data const&)  [Unknown]                  0xbad020     
 _start                                                                                                              2.112%                         2.112%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _start                                                                                                                          [Unknown]                  0x815670     
  __libc_start_main                                                                                                  2.112%                         2.112%                                                                     0s                            0s                       0s                           0s  libc.so.6         __libc_start_main                                                                                                               [Unknown]                  0x3aca0      
   main                                                                                                              2.112%                         2.112%                                                                 0.600s                        0.600s                       0s                           0s  particle_m_1.exe  main                                                                                                                            particle_m_1.cxx           0x403bb0     
    Set_Partial_Array<int*>                                                                                          0.338%                         0.338%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x506347     
     __memmove_avx_unaligned_erms                                                                                    0.338%                         0.338%                                                                 0.280s                        0.280s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
